Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Add:         047S35Z Dilation of Left Posterior Tibial Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047S366 Dilation of Left Posterior Tibial Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047S36Z Dilation of Left Posterior Tibial Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047S376 Dilation of Left Posterior Tibial Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047S37Z Dilation of Left Posterior Tibial Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047S3D6 Dilation of Left Posterior Tibial Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         047S3E6 Dilation of Left Posterior Tibial Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         047S3EZ Dilation of Left Posterior Tibial Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         047S3F6 Dilation of Left Posterior Tibial Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         047S3FZ Dilation of Left Posterior Tibial Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         047S3G6 Dilation of Left Posterior Tibial Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047S3GZ Dilation of Left Posterior Tibial Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047S3Z6 Dilation of Left Posterior Tibial Artery, Bifurcation, Percutaneous Approach
Add:         047S446 Dilation of Left Posterior Tibial Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047S456 Dilation of Left Posterior Tibial Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S45Z Dilation of Left Posterior Tibial Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S466 Dilation of Left Posterior Tibial Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S46Z Dilation of Left Posterior Tibial Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S476 Dilation of Left Posterior Tibial Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S47Z Dilation of Left Posterior Tibial Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S4D6 Dilation of Left Posterior Tibial Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047S4E6 Dilation of Left Posterior Tibial Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S4EZ Dilation of Left Posterior Tibial Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S4F6 Dilation of Left Posterior Tibial Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S4FZ Dilation of Left Posterior Tibial Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S4G6 Dilation of Left Posterior Tibial Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S4GZ Dilation of Left Posterior Tibial Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047S4Z6 Dilation of Left Posterior Tibial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         047T046 Dilation of Right Peroneal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         047T056 Dilation of Right Peroneal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047T05Z Dilation of Right Peroneal Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047T066 Dilation of Right Peroneal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047T06Z Dilation of Right Peroneal Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047T076 Dilation of Right Peroneal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047T07Z Dilation of Right Peroneal Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047T0D6 Dilation of Right Peroneal Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         047T0E6 Dilation of Right Peroneal Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         047T0EZ Dilation of Right Peroneal Artery with Two Intraluminal Devices, Open Approach
Add:         047T0F6 Dilation of Right Peroneal Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         047T0FZ Dilation of Right Peroneal Artery with Three Intraluminal Devices, Open Approach
Add:         047T0G6 Dilation of Right Peroneal Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         047T0GZ Dilation of Right Peroneal Artery with Four or More Intraluminal Devices, Open Approach
Add:         047T0Z6 Dilation of Right Peroneal Artery, Bifurcation, Open Approach
Add:         047T346 Dilation of Right Peroneal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         047T356 Dilation of Right Peroneal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047T35Z Dilation of Right Peroneal Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047T366 Dilation of Right Peroneal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047T36Z Dilation of Right Peroneal Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047T376 Dilation of Right Peroneal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047T37Z Dilation of Right Peroneal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047T3D6 Dilation of Right Peroneal Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         047T3E6 Dilation of Right Peroneal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         047T3EZ Dilation of Right Peroneal Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         047T3F6 Dilation of Right Peroneal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         047T3FZ Dilation of Right Peroneal Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         047T3G6 Dilation of Right Peroneal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047T3GZ Dilation of Right Peroneal Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047T3Z6 Dilation of Right Peroneal Artery, Bifurcation, Percutaneous Approach
Add:         047T446 Dilation of Right Peroneal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047T456 Dilation of Right Peroneal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T45Z Dilation of Right Peroneal Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T466 Dilation of Right Peroneal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T46Z Dilation of Right Peroneal Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T476 Dilation of Right Peroneal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T47Z Dilation of Right Peroneal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T4D6 Dilation of Right Peroneal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047T4E6 Dilation of Right Peroneal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T4EZ Dilation of Right Peroneal Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T4F6 Dilation of Right Peroneal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T4FZ Dilation of Right Peroneal Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T4G6 Dilation of Right Peroneal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T4GZ Dilation of Right Peroneal Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047T4Z6 Dilation of Right Peroneal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         047U046 Dilation of Left Peroneal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         047U056 Dilation of Left Peroneal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047U05Z Dilation of Left Peroneal Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047U066 Dilation of Left Peroneal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047U06Z Dilation of Left Peroneal Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047U076 Dilation of Left Peroneal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047U07Z Dilation of Left Peroneal Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047U0D6 Dilation of Left Peroneal Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         047U0E6 Dilation of Left Peroneal Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         047U0EZ Dilation of Left Peroneal Artery with Two Intraluminal Devices, Open Approach
Add:         047U0F6 Dilation of Left Peroneal Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         047U0FZ Dilation of Left Peroneal Artery with Three Intraluminal Devices, Open Approach
Add:         047U0G6 Dilation of Left Peroneal Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         047U0GZ Dilation of Left Peroneal Artery with Four or More Intraluminal Devices, Open Approach
Add:         047U0Z6 Dilation of Left Peroneal Artery, Bifurcation, Open Approach
Add:         047U346 Dilation of Left Peroneal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         047U356 Dilation of Left Peroneal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047U35Z Dilation of Left Peroneal Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047U366 Dilation of Left Peroneal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047U36Z Dilation of Left Peroneal Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047U376 Dilation of Left Peroneal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047U37Z Dilation of Left Peroneal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047U3D6 Dilation of Left Peroneal Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         047U3E6 Dilation of Left Peroneal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         047U3EZ Dilation of Left Peroneal Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         047U3F6 Dilation of Left Peroneal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         047U3FZ Dilation of Left Peroneal Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         047U3G6 Dilation of Left Peroneal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047U3GZ Dilation of Left Peroneal Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047U3Z6 Dilation of Left Peroneal Artery, Bifurcation, Percutaneous Approach
Add:         047U446 Dilation of Left Peroneal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047U456 Dilation of Left Peroneal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U45Z Dilation of Left Peroneal Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U466 Dilation of Left Peroneal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U46Z Dilation of Left Peroneal Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U476 Dilation of Left Peroneal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U47Z Dilation of Left Peroneal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U4D6 Dilation of Left Peroneal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047U4E6 Dilation of Left Peroneal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U4EZ Dilation of Left Peroneal Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U4F6 Dilation of Left Peroneal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U4FZ Dilation of Left Peroneal Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U4G6 Dilation of Left Peroneal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U4GZ Dilation of Left Peroneal Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047U4Z6 Dilation of Left Peroneal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         047V046 Dilation of Right Foot Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         047V056 Dilation of Right Foot Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047V05Z Dilation of Right Foot Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047V066 Dilation of Right Foot Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047V06Z Dilation of Right Foot Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047V076 Dilation of Right Foot Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047V07Z Dilation of Right Foot Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047V0D6 Dilation of Right Foot Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         047V0E6 Dilation of Right Foot Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         047V0EZ Dilation of Right Foot Artery with Two Intraluminal Devices, Open Approach
Add:         047V0F6 Dilation of Right Foot Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         047V0FZ Dilation of Right Foot Artery with Three Intraluminal Devices, Open Approach
Add:         047V0G6 Dilation of Right Foot Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         047V0GZ Dilation of Right Foot Artery with Four or More Intraluminal Devices, Open Approach
Add:         047V0Z6 Dilation of Right Foot Artery, Bifurcation, Open Approach
Add:         047V346 Dilation of Right Foot Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         047V356 Dilation of Right Foot Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047V35Z Dilation of Right Foot Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047V366 Dilation of Right Foot Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047V36Z Dilation of Right Foot Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047V376 Dilation of Right Foot Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047V37Z Dilation of Right Foot Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047V3D6 Dilation of Right Foot Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         047V3E6 Dilation of Right Foot Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         047V3EZ Dilation of Right Foot Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         047V3F6 Dilation of Right Foot Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         047V3FZ Dilation of Right Foot Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         047V3G6 Dilation of Right Foot Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047V3GZ Dilation of Right Foot Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047V3Z6 Dilation of Right Foot Artery, Bifurcation, Percutaneous Approach
Add:         047V446 Dilation of Right Foot Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047V456 Dilation of Right Foot Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V45Z Dilation of Right Foot Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V466 Dilation of Right Foot Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V46Z Dilation of Right Foot Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V476 Dilation of Right Foot Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V47Z Dilation of Right Foot Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V4D6 Dilation of Right Foot Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047V4E6 Dilation of Right Foot Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V4EZ Dilation of Right Foot Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V4F6 Dilation of Right Foot Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V4FZ Dilation of Right Foot Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V4G6 Dilation of Right Foot Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V4GZ Dilation of Right Foot Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047V4Z6 Dilation of Right Foot Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         047W046 Dilation of Left Foot Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         047W056 Dilation of Left Foot Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047W05Z Dilation of Left Foot Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047W066 Dilation of Left Foot Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047W06Z Dilation of Left Foot Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047W076 Dilation of Left Foot Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047W07Z Dilation of Left Foot Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047W0D6 Dilation of Left Foot Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         047W0E6 Dilation of Left Foot Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         047W0EZ Dilation of Left Foot Artery with Two Intraluminal Devices, Open Approach
Add:         047W0F6 Dilation of Left Foot Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         047W0FZ Dilation of Left Foot Artery with Three Intraluminal Devices, Open Approach
Add:         047W0G6 Dilation of Left Foot Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         047W0GZ Dilation of Left Foot Artery with Four or More Intraluminal Devices, Open Approach
Add:         047W0Z6 Dilation of Left Foot Artery, Bifurcation, Open Approach
Add:         047W346 Dilation of Left Foot Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         047W356 Dilation of Left Foot Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047W35Z Dilation of Left Foot Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047W366 Dilation of Left Foot Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047W36Z Dilation of Left Foot Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047W376 Dilation of Left Foot Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047W37Z Dilation of Left Foot Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047W3D6 Dilation of Left Foot Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         047W3E6 Dilation of Left Foot Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         047W3EZ Dilation of Left Foot Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         047W3F6 Dilation of Left Foot Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         047W3FZ Dilation of Left Foot Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         047W3G6 Dilation of Left Foot Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047W3GZ Dilation of Left Foot Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047W3Z6 Dilation of Left Foot Artery, Bifurcation, Percutaneous Approach
Add:         047W446 Dilation of Left Foot Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047W456 Dilation of Left Foot Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W45Z Dilation of Left Foot Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W466 Dilation of Left Foot Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W46Z Dilation of Left Foot Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W476 Dilation of Left Foot Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W47Z Dilation of Left Foot Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W4D6 Dilation of Left Foot Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047W4E6 Dilation of Left Foot Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W4EZ Dilation of Left Foot Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W4F6 Dilation of Left Foot Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W4FZ Dilation of Left Foot Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W4G6 Dilation of Left Foot Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W4GZ Dilation of Left Foot Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047W4Z6 Dilation of Left Foot Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         047Y046 Dilation of Lower Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Add:         047Y056 Dilation of Lower Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047Y05Z Dilation of Lower Artery with Two Drug-eluting Intraluminal Devices, Open Approach
Add:         047Y066 Dilation of Lower Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047Y06Z Dilation of Lower Artery with Three Drug-eluting Intraluminal Devices, Open Approach
Add:         047Y076 Dilation of Lower Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047Y07Z Dilation of Lower Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach
Add:         047Y0D6 Dilation of Lower Artery, Bifurcation, with Intraluminal Device, Open Approach
Add:         047Y0E6 Dilation of Lower Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Add:         047Y0EZ Dilation of Lower Artery with Two Intraluminal Devices, Open Approach
Add:         047Y0F6 Dilation of Lower Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Add:         047Y0FZ Dilation of Lower Artery with Three Intraluminal Devices, Open Approach
Add:         047Y0G6 Dilation of Lower Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Add:         047Y0GZ Dilation of Lower Artery with Four or More Intraluminal Devices, Open Approach
Add:         047Y0Z6 Dilation of Lower Artery, Bifurcation, Open Approach
Add:         047Y346 Dilation of Lower Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         047Y356 Dilation of Lower Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047Y35Z Dilation of Lower Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047Y366 Dilation of Lower Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047Y36Z Dilation of Lower Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047Y376 Dilation of Lower Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047Y37Z Dilation of Lower Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         047Y3D6 Dilation of Lower Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         047Y3E6 Dilation of Lower Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         047Y3EZ Dilation of Lower Artery with Two Intraluminal Devices, Percutaneous Approach
Add:         047Y3F6 Dilation of Lower Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         047Y3FZ Dilation of Lower Artery with Three Intraluminal Devices, Percutaneous Approach
Add:         047Y3G6 Dilation of Lower Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047Y3GZ Dilation of Lower Artery with Four or More Intraluminal Devices, Percutaneous Approach
Add:         047Y3Z6 Dilation of Lower Artery, Bifurcation, Percutaneous Approach
Add:         047Y446 Dilation of Lower Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047Y456 Dilation of Lower Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y45Z Dilation of Lower Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y466 Dilation of Lower Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y46Z Dilation of Lower Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y476 Dilation of Lower Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y47Z Dilation of Lower Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y4D6 Dilation of Lower Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         047Y4E6 Dilation of Lower Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y4EZ Dilation of Lower Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y4F6 Dilation of Lower Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y4FZ Dilation of Lower Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y4G6 Dilation of Lower Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y4GZ Dilation of Lower Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         047Y4Z6 Dilation of Lower Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C00Z6 Extirpation of Matter from Abdominal Aorta, Bifurcation, Open Approach
Add:         04C03Z6 Extirpation of Matter from Abdominal Aorta, Bifurcation, Percutaneous Approach
